mid1_prob2,mid2_prob2,Final_prob5,grade,group_grades
18,34,5,5,3
19,29,14,5,3
19,28,3,5,3
5,16,0,5,3
23,30,7,5,3
10,30,5,4,2
20,32,9,4,2
5,28,9,4,2
23,18,5,4,2
20,29,11,4,2
13,31,10,4,2
18,28,10,4,2
12,16,5,3,2
10,30,8,3,2
0,20,4,3,2
2,24,1,3,2
10,13,5,3,2
22,23,6,3,2
16,18,9,3,2
9,14,13,3,2
7,21,0,3,2
12,18,9,3,2
12,22,6,3,2
2,33,0,3,2
19,28,7,3,2
3,5,3,2,1
20,18,0,2,1
0,16,7,2,1
5,10,10,2,1
23,27,0,2,1
9,0,14,1,1
